tensorized | epoch 87 | top1=0.2094 top2=0.3140 top3=0.3875 top4=0.4433 top5=0.4896 loss=0.050745 time=33.66s
tensorized | epoch 88 | top1=0.2103 top2=0.3158 top3=0.3899 top4=0.4460 top5=0.4928 loss=0.050663 time=33.54s
tensorized | epoch 89 | top1=0.2096 top2=0.3153 top3=0.3894 top4=0.4485 top5=0.4944 loss=0.050573 time=33.60s
tensorized | epoch 90 | top1=0.2127 top2=0.3182 top3=0.3916 top4=0.4488 top5=0.4955 loss=0.050467 time=33.68s
tensorized | epoch 91 | top1=0.2134 top2=0.3194 top3=0.3928 top4=0.4491 top5=0.4951 loss=0.050468 time=33.74s
tensorized | epoch 92 | top1=0.2117 top2=0.3159 top3=0.3908 top4=0.4495 top5=0.4958 loss=0.050425 time=33.68s
tensorized | epoch 93 | top1=0.2150 top2=0.3220 top3=0.3970 top4=0.4551 top5=0.4999 loss=0.050186 time=33.58s
tensorized | epoch 94 | top1=0.2156 top2=0.3217 top3=0.3973 top4=0.4549 top5=0.5004 loss=0.050208 time=33.59s
tensorized | epoch 95 | top1=0.2163 top2=0.3223 top3=0.3957 top4=0.4537 top5=0.4995 loss=0.050196 time=33.64s
tensorized | epoch 96 | top1=0.2154 top2=0.3239 top3=0.3987 top4=0.4552 top5=0.5008 loss=0.050137 time=33.75s
tensorized | epoch 97 | top1=0.2172 top2=0.3261 top3=0.3993 top4=0.4553 top5=0.5032 loss=0.050004 time=33.71s
tensorized | epoch 98 | top1=0.2188 top2=0.3279 top3=0.4010 top4=0.4582 top5=0.5032 loss=0.049852 time=33.75s
tensorized | epoch 99 | top1=0.2197 top2=0.3269 top3=0.4031 top4=0.4600 top5=0.5048 loss=0.049828 time=33.82s
tensorized | epoch 100 | top1=0.2187 top2=0.3268 top3=0.4025 top4=0.4603 top5=0.5050 loss=0.049866 time=33.53s
tensorized | epoch 101 | top1=0.2219 top2=0.3285 top3=0.4047 top4=0.4635 top5=0.5078 loss=0.049660 time=33.63s
tensorized | epoch 102 | top1=0.2215 top2=0.3309 top3=0.4055 top4=0.4640 top5=0.5110 loss=0.049635 time=33.64s
tensorized | epoch 103 | top1=0.2247 top2=0.3297 top3=0.4046 top4=0.4621 top5=0.5082 loss=0.049587 time=33.66s
tensorized | epoch 104 | top1=0.2228 top2=0.3321 top3=0.4068 top4=0.4641 top5=0.5112 loss=0.049476 time=33.76s
tensorized | epoch 105 | top1=0.2251 top2=0.3343 top3=0.4101 top4=0.4674 top5=0.5130 loss=0.049401 time=33.68s
tensorized | epoch 106 | top1=0.2240 top2=0.3344 top3=0.4113 top4=0.4685 top5=0.5142 loss=0.049377 time=33.70s
tensorized | epoch 107 | top1=0.2260 top2=0.3356 top3=0.4111 top4=0.4699 top5=0.5145 loss=0.049193 time=33.77s
tensorized | epoch 108 | top1=0.2283 top2=0.3378 top3=0.4125 top4=0.4685 top5=0.5149 loss=0.049202 time=33.68s
tensorized | epoch 109 | top1=0.2300 top2=0.3392 top3=0.4147 top4=0.4720 top5=0.5177 loss=0.049096 time=33.68s
tensorized | epoch 110 | top1=0.2281 top2=0.3383 top3=0.4145 top4=0.4734 top5=0.5203 loss=0.048966 time=33.64s
tensorized | epoch 111 | top1=0.2287 top2=0.3390 top3=0.4161 top4=0.4739 top5=0.5198 loss=0.048989 time=33.78s
tensorized | epoch 112 | top1=0.2308 top2=0.3403 top3=0.4159 top4=0.4731 top5=0.5174 loss=0.048930 time=33.72s
tensorized | epoch 113 | top1=0.2317 top2=0.3418 top3=0.4203 top4=0.4784 top5=0.5249 loss=0.048727 time=33.75s
tensorized | epoch 114 | top1=0.2321 top2=0.3456 top3=0.4220 top4=0.4791 top5=0.5255 loss=0.048649 time=33.64s
tensorized | epoch 115 | top1=0.2341 top2=0.3475 top3=0.4226 top4=0.4812 top5=0.5268 loss=0.048611 time=33.72s
tensorized | epoch 116 | top1=0.2341 top2=0.3458 top3=0.4242 top4=0.4816 top5=0.5270 loss=0.048502 time=33.68s
tensorized | epoch 117 | top1=0.2330 top2=0.3488 top3=0.4247 top4=0.4812 top5=0.5272 loss=0.048430 time=33.62s
tensorized | epoch 118 | top1=0.2367 top2=0.3488 top3=0.4240 top4=0.4825 top5=0.5279 loss=0.048315 time=33.69s
tensorized | epoch 119 | top1=0.2366 top2=0.3473 top3=0.4241 top4=0.4830 top5=0.5308 loss=0.048293 time=33.67s
tensorized | epoch 120 | top1=0.2368 top2=0.3492 top3=0.4263 top4=0.4849 top5=0.5330 loss=0.048185 time=33.69s
tensorized | epoch 121 | top1=0.2374 top2=0.3536 top3=0.4284 top4=0.4853 top5=0.5315 loss=0.048056 time=33.66s
tensorized | epoch 122 | top1=0.2403 top2=0.3547 top3=0.4315 top4=0.4887 top5=0.5331 loss=0.048018 time=33.75s
tensorized | epoch 123 | top1=0.2409 top2=0.3554 top3=0.4328 top4=0.4899 top5=0.5348 loss=0.047978 time=33.72s
tensorized | epoch 124 | top1=0.2437 top2=0.3571 top3=0.4351 top4=0.4938 top5=0.5396 loss=0.047782 time=33.56s
tensorized | epoch 125 | top1=0.2408 top2=0.3567 top3=0.4360 top4=0.4933 top5=0.5408 loss=0.047688 time=33.57s
tensorized | epoch 126 | top1=0.2460 top2=0.3598 top3=0.4376 top4=0.4955 top5=0.5391 loss=0.047621 time=33.60s
tensorized | epoch 127 | top1=0.2467 top2=0.3600 top3=0.4358 top4=0.4950 top5=0.5416 loss=0.047541 time=33.70s
