original | epoch 144 | top1=0.1858 top2=0.2491 top3=0.2887 top4=0.3176 top5=0.3405 loss=0.117797 time=218.94s
original | epoch 145 | top1=0.1949 top2=0.2600 top3=0.3011 top4=0.3313 top5=0.3556 loss=0.118330 time=218.55s
original | epoch 146 | top1=0.1900 top2=0.2560 top3=0.2979 top4=0.3276 top5=0.3514 loss=0.117858 time=219.07s
original | epoch 147 | top1=0.1891 top2=0.2539 top3=0.2943 top4=0.3235 top5=0.3470 loss=0.117487 time=218.45s
original | epoch 148 | top1=0.1914 top2=0.2574 top3=0.2977 top4=0.3284 top5=0.3514 loss=0.117558 time=218.45s
original | epoch 149 | top1=0.1937 top2=0.2604 top3=0.3020 top4=0.3315 top5=0.3561 loss=0.117500 time=218.52s
original | epoch 150 | top1=0.1909 top2=0.2562 top3=0.2972 top4=0.3276 top5=0.3520 loss=0.117348 time=218.57s
original | epoch 151 | top1=0.1961 top2=0.2644 top3=0.3054 top4=0.3358 top5=0.3594 loss=0.117604 time=218.81s
original | epoch 152 | top1=0.1893 top2=0.2544 top3=0.2950 top4=0.3247 top5=0.3481 loss=0.117969 time=218.55s
original | epoch 153 | top1=0.1975 top2=0.2641 top3=0.3042 top4=0.3340 top5=0.3572 loss=0.117330 time=218.69s
original | epoch 154 | top1=0.1945 top2=0.2609 top3=0.3005 top4=0.3307 top5=0.3549 loss=0.117384 time=218.66s
original | epoch 155 | top1=0.1942 top2=0.2584 top3=0.2998 top4=0.3288 top5=0.3527 loss=0.116690 time=218.84s
original | epoch 156 | top1=0.1925 top2=0.2598 top3=0.3004 top4=0.3298 top5=0.3535 loss=0.117331 time=218.75s
original | epoch 157 | top1=0.1912 top2=0.2556 top3=0.2949 top4=0.3247 top5=0.3488 loss=0.117741 time=218.82s
original | epoch 158 | top1=0.1908 top2=0.2542 top3=0.2939 top4=0.3238 top5=0.3473 loss=0.117877 time=218.61s
original | epoch 159 | top1=0.1926 top2=0.2592 top3=0.2996 top4=0.3295 top5=0.3533 loss=0.116926 time=218.84s
original | epoch 160 | top1=0.1952 top2=0.2601 top3=0.3008 top4=0.3300 top5=0.3541 loss=0.117059 time=218.70s
