original | epoch 160 | top1=0.4317 top2=0.4706 top3=0.4918 top4=0.5073 top5=0.5195 loss=0.076424 time=463.54s
original | epoch 161 | top1=0.4382 top2=0.4792 top3=0.5003 top4=0.5166 top5=0.5300 loss=0.077333 time=463.38s
original | epoch 162 | top1=0.4329 top2=0.4720 top3=0.4934 top4=0.5081 top5=0.5209 loss=0.076201 time=463.26s
original | epoch 163 | top1=0.4486 top2=0.4869 top3=0.5081 top4=0.5236 top5=0.5368 loss=0.076373 time=463.11s
original | epoch 164 | top1=0.4352 top2=0.4740 top3=0.4949 top4=0.5104 top5=0.5231 loss=0.075589 time=462.96s
original | epoch 165 | top1=0.4450 top2=0.4831 top3=0.5045 top4=0.5204 top5=0.5334 loss=0.075566 time=463.12s
original | epoch 166 | top1=0.4545 top2=0.4923 top3=0.5127 top4=0.5279 top5=0.5401 loss=0.075049 time=463.47s
original | epoch 167 | top1=0.4350 top2=0.4729 top3=0.4948 top4=0.5102 top5=0.5235 loss=0.074839 time=463.63s
original | epoch 168 | top1=0.4465 top2=0.4825 top3=0.5033 top4=0.5176 top5=0.5293 loss=0.073656 time=463.19s
original | epoch 169 | top1=0.4684 top2=0.5046 top3=0.5241 top4=0.5384 top5=0.5505 loss=0.072803 time=463.12s
original | epoch 170 | top1=0.4498 top2=0.4865 top3=0.5072 top4=0.5224 top5=0.5348 loss=0.073568 time=463.34s
original | epoch 171 | top1=0.4494 top2=0.4852 top3=0.5051 top4=0.5202 top5=0.5330 loss=0.073035 time=462.98s
original | epoch 172 | top1=0.4637 top2=0.4995 top3=0.5200 top4=0.5359 top5=0.5481 loss=0.073334 time=463.16s
original | epoch 173 | top1=0.4533 top2=0.4895 top3=0.5100 top4=0.5252 top5=0.5373 loss=0.073096 time=463.35s
original | epoch 174 | top1=0.4634 top2=0.4984 top3=0.5196 top4=0.5350 top5=0.5480 loss=0.072663 time=463.29s
original | epoch 175 | top1=0.4533 top2=0.4880 top3=0.5083 top4=0.5232 top5=0.5356 loss=0.071998 time=463.17s
original | epoch 176 | top1=0.4646 top2=0.5007 top3=0.5221 top4=0.5372 top5=0.5505 loss=0.072729 time=463.36s
original | epoch 177 | top1=0.4574 top2=0.4922 top3=0.5130 top4=0.5287 top5=0.5416 loss=0.072040 time=463.27s
original | epoch 178 | top1=0.4639 top2=0.4985 top3=0.5190 top4=0.5345 top5=0.5474 loss=0.071595 time=463.21s
original | epoch 179 | top1=0.4604 top2=0.4945 top3=0.5149 top4=0.5302 top5=0.5422 loss=0.070449 time=463.46s
original | epoch 180 | top1=0.4594 top2=0.4933 top3=0.5135 top4=0.5289 top5=0.5414 loss=0.070785 time=463.15s
original | epoch 181 | top1=0.4603 top2=0.4947 top3=0.5162 top4=0.5320 top5=0.5456 loss=0.071429 time=463.16s
original | epoch 182 | top1=0.4697 top2=0.5044 top3=0.5255 top4=0.5411 top5=0.5539 loss=0.070875 time=462.96s
original | epoch 183 | top1=0.4777 top2=0.5115 top3=0.5310 top4=0.5462 top5=0.5594 loss=0.069850 time=463.45s
original | epoch 184 | top1=0.4740 top2=0.5091 top3=0.5297 top4=0.5457 top5=0.5593 loss=0.070316 time=463.35s
original | epoch 185 | top1=0.4654 top2=0.5000 top3=0.5207 top4=0.5365 top5=0.5493 loss=0.070031 time=463.32s
